University of Wisconsin,1,A+
Tulane University,2,A+
Florida State University,3,A+
Howard University,4,A+
University of Illinois at Urbana-Champaign,5,A+
University of Georgia,6,A+
Syracuse University,7,A+
The University of Alabama,8,A+
West Virginia University,9,A+
Penn State,10,A+
University of Southern California,11,A+
University of Iowa,12,A+
Ohio University,13,A+
Indiana University - Bloomington,14,A+
University of California - Santa Barbara,15,A+
Miami University,16,A+
University of Texas - Austin,17,A+
University of Mississippi,18,A+
San Diego State University,19,A+
Michigan State University,20,A+
Southern Methodist University,21,A+
University of Delaware,22,A+
Vanderbilt University,23,A+
Clark Atlanta University,24,A+
University of Miami,25,A+
The Ohio State University,26,A+
University of Colorado - Boulder,27,A+
Rutgers University - New Brunswick,28,A+
University of Pennsylvania,29,A+
University of South Carolina,30,A+
Florida A&M University,31,A+
University of Florida,32,A+
James Madison University,33,A+
University of Michigan - Ann Arbor,34,A+
University of Virginia,35,A+
University of Kansas,36,A+
University of Dayton,37,A+
College of Charleston,38,A+
Washington State University,39,A+
University of Massachusetts - Amherst,40,A+
University of Cincinnati,41,A+
University of Missouri,42,A+
University of Oklahoma,43,A+
Lehigh University,44,A+
University of Arkansas,45,A+
University at Albany SUNY,46,A+
Western Michigan University,47,A+
Morehouse College,48,A+
University of Arizona,49,A+
Temple University,50,A+
Louisiana State University,51,A+
East Carolina University,52,A+
Arizona State University,53,A+
Texas Tech University,54,A+
University of Maryland - College Park,55,A+
Loyola University New Orleans,56,A+
North Carolina A&T State University,57,A+
Bowling Green State University,58,A+
University of Wisconsin - La Crosse,59,A+
University of Minnesota Twin Cities,60,A+
Texas Southern University,61,A+
Texas State University,62,A+
University of California - Los Angeles,63,A+
California State University - Chico,64,A+
Savannah State University,65,A+
University of Tennessee,66,A+
Morgan State University,67,A+
Kansas State University,68,A+
University of Oregon,69,A+
University of Kentucky,70,A+
Yale University,71,A+
Auburn University,72,A+
SUNY Oswego,73,A+
SUNY Oneonta,74,A+
University of North Carolina at Chapel Hill,75,A+
SUNY Cortland,76,A+
Alabama State University,77,A+
University of Wisconsin - Oshkosh,78,A+
DePauw University,79,A
Norfolk State University,80,A
New York University,81,A
Alabama A&M University,82,A
Colgate University,83,A
University of South Dakota,84,A
Virginia Tech,85,A
Prairie View A & M University,86,A
Spelman College,87,A
University of Central Florida,88,A
Albany State University,89,A
Tennessee State University,90,A
Georgia State University,91,A
University of Tampa,92,A
Southern University & A&M College,93,A
Bethune-Cookman University,94,A
University of Louisville,95,A
Binghamton University SUNY,96,A
North Carolina Central University,97,A
Southern Illinois University Carbondale,98,A
University of Pittsburgh,99,A
Jackson State University,100,A
Wake Forest University,101,A
Massachusetts Institute of Technology,102,A
Indiana University of Pennsylvania,103,A
Pittsburg State University,104,A
Clemson University,105,A
Texas Christian University,106,A
Providence College,107,A
Rice University,108,A
Rollins College,109,A
George Washington University,110,A
Illinois State University,111,A
Tuskegee University,112,A
Old Dominion University,113,A
Iowa State University,114,A
SUNY Buffalo State College,115,A
Georgia Southern University,116,A
Harris-Stowe State University,117,A
University of Nebraska - Lincoln,118,A
Central Michigan University,119,A
Johnson & Wales University- Providence,120,A
Eckerd College,121,A
Virginia Commonwealth University,122,A
Santa Clara University,123,A
Plymouth State University,124,A
Western Illinois University,125,A
University of Washington,126,A
South Carolina State University,127,A
Bloomsburg University of Pennsylvania,128,A
Kent State University,129,A
Huston-Tillotson University,130,A
Duke University,131,A
Texas A&M University,132,A
Missouri State University,133,A
Salisbury University,134,A
North Dakota State University,135,A
Minnesota State University Mankato,136,A
University of Idaho,137,A
Oklahoma State University,138,A
Towson University,139,A
University of Wisconsin - Whitewater,140,A
The New School,141,A
University of Denver,142,A
University of California - Berkeley,143,A
University of New Hampshire,144,A
Boston University,145,A
Augustana College - Illinois,146,A
Winston-Salem State University,147,A
University of North Dakota,148,A
Trinity College - Connecticut,149,A
Coastal Carolina University,150,A
University of Nevada - Reno,151,A
Ball State University,152,A
University of Maine,153,A
University of Louisiana - Lafayette,154,A
University of Vermont,155,A
Rowan University,156,A
The Los Angeles Film School,157,A
Grambling State University,158,A
Union College - New York,159,A
University of North Texas,160,A
Bucknell University,161,A
Georgetown University,162,A
Dartmouth College,163,A
St. Bonaventure University,164,A
Radford University,165,A
Western Kentucky University,166,A
Stephen F Austin State University,167,A
West Chester University of Pennsylvania,168,A
DePaul University,169,A
Keene State College,170,A
Northwest Missouri State University,171,A
University of Nevada Las Vegas,172,A
Cornell University,173,A
Washington & Lee University,174,A
University of Wisconsin - Milwaukee,175,A
Mississippi State University,176,A
Hartwick College,177,A
Alcorn State University,178,A
San Jose State University,179,A
Gallaudet University,180,A
Brown University,181,A
Harvard University,182,A
University of Rhode Island,183,A
Central State University,184,A
California Polytechnic State University (Cal Poly) - San Luis Obispo,185,A
Columbia University,186,A
Fort Hays State University,187,A
Oregon State University,188,A
University of Central Missouri,189,A
Eastern Illinois University,190,A
SUNY Fredonia,191,A
Colorado State University,192,A
Fort Valley State University,193,A
The College of Saint Rose,194,A
SUNY Plattsburgh,195,A
Langston University,196,A
Wittenberg University,197,A
Berklee College of Music,198,A
University of Houston,199,A-
University of Richmond,200,A-
University of Notre Dame,201,A-
East Stroudsburg University of Pennsylvania,202,A-
Boston College,203,A-
North Carolina State University,204,A-
Marquette University,205,A-
University at Buffalo, SUNY,206,A-
University of Nebraska at Kearney,207,A-
University of Connecticut,208,A-
Rutgers University - Newark,209,A-
Philander Smith College,210,A-
Purdue University,211,A-
Kutztown University of Pennsylvania,212,A-
Florida International University,213,A-
Lincoln University of Pennsylvania,214,A-
Spring Hill College,215,A-
SUNY College of Environmental Science & Forestry,216,A-
Stevens Institute of Technology,217,A-
Appalachian State University,218,A-
University of South Florida,219,A-
Northern Illinois University,220,A-
California State University - Long Beach,221,A-
Ferris State University,222,A-
Virginia State University,223,A-
University of Wisconsin - Stout,224,A-
SUNY New Paltz,225,A-
Bradley University,226,A-
South Dakota State University,227,A-
University of the Arts,228,A-
Bowie State University,229,A-
University of Akron,230,A-
Georgia College & State University,231,A-
Rhodes College,232,A-
University of Memphis,233,A-
University of Scranton,234,A-
Gettysburg College,235,A-
Hendrix College,236,A-
Hampden-Sydney College,237,A-
Georgia Institute of Technology,238,A-
Wayne State College,239,A-
Southeast Missouri State University,240,A-
University of Southern Mississippi,241,A-
Washington University in St. Louis,242,A-
University of Wisconsin - Eau Claire,243,A-
University of West Georgia,244,A-
SUNY Potsdam,245,A-
University of North Carolina - Wilmington,246,A-
Dillard University,247,A-
Mississippi Valley State University,248,A-
Cornish College of the Arts,249,A-
Winona State University,250,A-
Indiana State University,251,A-
Boise State University,252,A-
University of Utah,253,A-
Frostburg State University,254,A-
California Institute of the Arts,255,A-
Florida Memorial University,256,A-
Quinnipiac University,257,A-
Barnard College,258,A-
University of North Carolina - Greensboro,259,A-
St. Norbert College,260,A-
University of Wyoming,261,A-
Montana State University,262,A-
Slippery Rock University,263,A-
University of California - Riverside,264,A-
Valdosta State University,265,A-
University of Tennessee - Martin,266,A-
Sewanee - The University of the South,267,A-
Southern Connecticut State University,268,A-
Shaw University,269,A-
University of South Carolina - Upstate,270,A-
Northwestern University,271,A-
Texas A&M University - Commerce,272,A-
Community College of Denver,273,A-
St. Lawrence University,274,A-
Xavier University of Louisiana,275,A-
University of North Carolina at Charlotte,276,A-
Northern Arizona University,277,A-
Marshall University,278,A-
Wartburg College,279,A-
Monmouth University,280,A-
SUNY Alfred State College,281,A-
Saint Louis University,282,A-
Louisiana State University Health Sciences Center - New Orleans,283,A-
University of Texas - San Antonio,284,A-
